2024-06-16 15:45:50.585 WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver    247  http-nio-18000-exec-1                     Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public com.hasity.business.resp.CommonResp<java.util.List<com.hasity.business.domain.Demo>> com.hasity.business.controller.TestController.query(com.hasity.business.req.DemoQueryReq): [Field error in object 'demoQueryReq' on field 'mobile': rejected value [null]; codes [NotBlank.demoQueryReq.mobile,NotBlank.mobile,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [demoQueryReq.mobile,mobile]; arguments []; default message [mobile]]; default message [手机号不能为空]] ]
2024-06-16 15:54:52.234 INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener 211  File Watcher                     Restarting due to 1 class path change (0 additions, 1 deletion, 0 modifications)
2024-06-16 15:54:52.236 INFO  org.apache.coyote.http11.Http11NioProtocol         173  Thread-7                     Stopping ProtocolHandler ["http-nio-18000"]
2024-06-16 15:54:52.314 INFO  com.hasity.business.BusinessApplication            50   restartedMain                     Starting BusinessApplication using Java 17.0.7 with PID 9844 (D:\BaiduNetdiskDownload\nls\business\target\classes started by zjw16 in D:\BaiduNetdiskDownload\nls)
2024-06-16 15:54:52.314 INFO  com.hasity.business.BusinessApplication            654  restartedMain                     No active profile set, falling back to 1 default profile: "default"
2024-06-16 15:54:52.480 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer       109  restartedMain                     Tomcat initialized with port 18000 (http)
2024-06-16 15:54:52.480 INFO  org.apache.coyote.http11.Http11NioProtocol         173  restartedMain                     Initializing ProtocolHandler ["http-nio-18000"]
2024-06-16 15:54:52.480 INFO  org.apache.catalina.core.StandardService           173  restartedMain                     Starting service [Tomcat]
2024-06-16 15:54:52.480 INFO  org.apache.catalina.core.StandardEngine            173  restartedMain                     Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-06-16 15:54:52.496 INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/nls]  173  restartedMain                     Initializing Spring embedded WebApplicationContext
2024-06-16 15:54:52.497 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext     296  restartedMain                     Root WebApplicationContext: initialization completed in 181 ms
2024-06-16 15:54:52.602 INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer     59   restartedMain                     LiveReload server is running on port 35729
2024-06-16 15:54:52.607 INFO  org.apache.coyote.http11.Http11NioProtocol         173  restartedMain                     Starting ProtocolHandler ["http-nio-18000"]
2024-06-16 15:54:52.611 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer       241  restartedMain                     Tomcat started on port 18000 (http) with context path '/nls'
2024-06-16 15:54:52.614 INFO  com.hasity.business.BusinessApplication            56   restartedMain                     Started BusinessApplication in 0.322 seconds (process running for 591.555)
2024-06-16 15:54:52.614 INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener  63   restartedMain                     Condition evaluation unchanged
2024-06-16 15:54:52.615 INFO  com.hasity.business.BusinessApplication            18   restartedMain                     启动成功! 
